Control ID,Industry,Process,Sub-process,Risk ID,Risk,Risk rating,Control objective,Control description,Control type,Control nature,Frequency,Assertions,COSO component,Key control,Fraud relevant,Control owner,Segregation of duties,Test of design,Test of operating effectiveness,Population / evidence source,Sample size guidance
BNK-15,Banking and financial institutions,Financial Crime,Sanctions and Watchlist Screening,R-BNK-15,A sanctioned party transacts through the bank because screening lists are stale or matches are cleared without proper review.,High,Ensure customers and payments are screened against current sanctions lists and that matches are properly adjudicated.,"Sanctions lists are updated automatically on publication and screening runs on every customer at onboarding, on the full base after each list update, and on every cross-border payment before release; potential matches are adjudicated by Financial Crime Compliance, not by the business, with dual review on discounted true-match candidates.",Preventive,IT-Dependent Manual,Per Transaction,E/O,Control Activities,Yes,Yes,Head of Financial Crime Compliance,Business and operations staff cannot discount a screening alert.,"Inspect the screening configuration, list update mechanism and alert adjudication workflow.",Re-perform screening on a sample of customers and payments to confirm expected hits; test a sample of discounted alerts for reviewer independence and rationale.,Screening alerts raised during the period,40 alerts
BNK-16,Banking and financial institutions,Financial Crime,Transaction Monitoring,R-BNK-16,Suspicious activity is not detected because monitoring scenarios are not tuned to the bank's risk profile or alerts are closed without investigation.,High,"Ensure transaction monitoring scenarios are appropriate, operating and producing investigated outcomes.",Monitoring scenarios are reviewed and tuned at least annually against the enterprise financial crime risk assessment with results approved by the Financial Crime Committee; alerts are investigated within defined timeframes and closure rationale is subject to quality assurance sampling by a team independent of the investigators.,Detective,IT-Dependent Manual,Monthly,"E/O, C",Monitoring Activities,Yes,Yes,Head of Financial Crime Compliance,Quality assurance reviewers are independent of the analysts whose closures they test.,"Inspect the scenario tuning methodology, committee approval and the quality assurance process.","For a sample of periods, inspect tuning evidence; sample closed alerts and reassess the adequacy of the closure rationale.",Alerts closed during the period and annual tuning documentation,40 alerts
BNK-17,Banking and financial institutions,Financial Crime,Suspicious Activity Reporting,R-BNK-17,"Suspicious activity reports are filed late or not at all, breaching statutory obligations and exposing the bank to enforcement.",High,"Ensure suspicious activity is escalated, decided and reported within statutory deadlines.",Escalations are logged on receipt and the Money Laundering Reporting Officer records a documented decision to report or not report within the internal deadline; filings are tracked against the statutory timetable and overdue items are escalated to the Financial Crime Committee monthly.,Detective,Manual,Monthly,"C, P&D",Information & Communication,Yes,Yes,Money Laundering Reporting Officer,The MLRO decision is independent of the business relationship generating the escalation.,"Inspect the escalation log, decision documentation standard and deadline tracking.","For a sample of escalations, agree the decision documentation and measure elapsed time to filing against the statutory deadline.",Internal escalations and filed reports in the period,25 escalations
BNK-18,Banking and financial institutions,Treasury,Liquidity Ratio Reporting,R-BNK-18,Regulatory liquidity ratios are misstated because the classification of assets and outflow assumptions are applied incorrectly.,High,Ensure regulatory liquidity ratios are calculated on correct classifications and approved assumptions.,"Monthly, Treasury Reporting calculates the liquidity ratios and an independent review by Risk Control verifies asset classification, haircuts and outflow factors against the regulatory rules before submission; the Asset and Liability Committee reviews the results.",Detective,IT-Dependent Manual,Monthly,"A/V, P&D",Control Activities,Yes,No,Treasurer,The preparer of the ratio calculation is independent of the reviewer in Risk Control.,"Inspect the calculation methodology, classification rules and evidence of independent review.","For a sample of months, re-perform the ratio calculation from source data and inspect the review evidence.",Monthly liquidity ratio calculations and submissions,3 of 12 months
BNK-19,Banking and financial institutions,Treasury,Investment Securities Valuation,R-BNK-19,"Securities are valued using stale or unverified prices, misstating the investment portfolio and capital.",High,Ensure securities are valued using independently verified prices at the appropriate fair value level.,"Monthly, an independent price verification is performed by Risk Control against external sources for all portfolio holdings; level 3 valuations require model validation and Valuation Committee approval, and price exceptions above tolerance are escalated before month end close.",Detective,IT-Dependent Manual,Monthly,A/V,Control Activities,Yes,No,Chief Risk Officer,Front office cannot supply the prices used for independent verification.,"Inspect the price verification methodology, tolerance thresholds and Valuation Committee terms of reference.","For a sample of months, re-perform price verification on a sample of holdings and inspect resolution of exceptions.",Monthly independent price verification files,3 of 12 months
BNK-20,Banking and financial institutions,Treasury,Interest Rate Risk in the Banking Book,R-BNK-20,Interest rate risk is understated because behavioural assumptions on non-maturity deposits and prepayment are not validated.,Medium,Ensure interest rate risk measurement uses validated assumptions and remains within approved limits.,"Behavioural assumptions for non-maturity deposits and prepayment are validated at least annually against observed customer behaviour by Model Risk, and quarterly the Asset and Liability Committee reviews interest rate risk measures against board-approved limits with breaches escalated.",Detective,Manual,Quarterly,"A/V, P&D",Risk Assessment,Yes,No,Treasurer,Model owners in Treasury are separate from the Model Risk validation function.,Inspect the assumption validation methodology and ALCO limit framework.,Obtain the most recent validation; re-perform the assumption back-test and inspect ALCO escalation of breaches.,Annual assumption validations and quarterly ALCO packs,2 of 4 quarters
BNK-01,Banking and financial institutions,Credit & Lending,Loan Origination,R-BNK-01,"Loans are advanced to borrowers who do not meet credit policy, or on terms outside delegated lending authority, leading to elevated default and impairment.",High,Ensure credit is granted only within approved policy and delegated lending authority.,"Every credit application is scored and reviewed against the credit policy by an underwriter independent of the relationship manager, and approved at the authority level set by exposure size in the delegated lending authority matrix before funds are released.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, R&O",Control Activities,Yes,Yes,Head of Credit Risk,The relationship manager who originates the application cannot approve it or release the funds.,"Inspect the credit policy, delegated authority matrix and origination workflow to confirm system-enforced approval limits.",Select a sample of loans advanced; agree the approval to the authority matrix and inspect the independent underwriting assessment.,All loans advanced during the period,"40 (per transaction, IT-dependent manual)"
BNK-02,Banking and financial institutions,Credit & Lending,Expected Credit Loss,R-BNK-02,"The expected credit loss allowance is understated because staging criteria, macroeconomic scenarios or post-model overlays are not applied consistently.",High,"Ensure the ECL allowance is calculated using approved models, inputs and overlays, and is subject to independent review.","Quarterly, the Model Risk function independently validates ECL model outputs, staging migration and scenario weightings, and all management overlays are documented, quantified and approved by the Provisions Committee before the allowance is booked.",Detective,Manual,Quarterly,"A/V, C",Risk Assessment,Yes,No,Chief Risk Officer,Model owners in Credit Risk are separate from the Model Risk validation function.,"Inspect the model governance framework, validation reports and Provisions Committee terms of reference.","For a sample of quarters, agree the booked allowance to the approved committee paper and re-perform the overlay calculation.","Quarterly ECL calculations, validation reports and committee minutes",2 of 4 quarters
BNK-03,Banking and financial institutions,Treasury,Regulatory Capital Reporting,R-BNK-03,"Risk-weighted assets are misclassified, misstating the regulatory capital ratio reported to the regulator.",High,Ensure exposures are assigned the correct risk weight and capital returns reconcile to the general ledger.,"Monthly, the Regulatory Reporting Manager reconciles the capital return to the general ledger and to the source exposure systems, and reviews a risk-weight assignment exception report before the Chief Financial Officer signs the return.",Detective,IT-Dependent Manual,Monthly,"A/V, P&D",Control Activities,Yes,No,Head of Regulatory Reporting,Preparer of the return does not approve or submit it.,"Inspect the reconciliation template, the exception report logic and the sign-off protocol.","For a sample of months, re-perform the reconciliation and inspect resolution of risk-weight exceptions.",Monthly regulatory capital returns and reconciliations,3 of 12 months
BNK-04,Banking and financial institutions,Deposits & Payments,Suspense and Nostro Accounts,R-BNK-04,Unreconciled items in suspense and nostro accounts conceal misappropriation or processing errors.,High,Ensure suspense and nostro accounts are reconciled and aged items are cleared and investigated.,Daily nostro and suspense reconciliations are prepared by Operations and reviewed by a supervisor; items ageing beyond 30 days are escalated monthly to the Financial Controller with a documented clearance plan.,Detective,IT-Dependent Manual,Daily,"E/O, A/V, C",Control Activities,Yes,Yes,Financial Controller,The preparer of the reconciliation cannot post clearing entries without independent review.,"Inspect the reconciliation procedure, ageing report and escalation protocol.","For a sample of days, inspect the reconciliation and supervisory review; test the ageing report for items cleared without support.",Daily nostro and suspense reconciliations,25 of the period
INS-01,Insurance,Claims,Claims Handling and Settlement,R-INS-01,"Fraudulent or duplicate claims are settled, or claims are paid outside the handler's settlement authority.",High,Ensure claims are validated against policy cover and settled within delegated authority.,"Each claim is validated against policy cover and the claims system enforces settlement authority by value; claims above the handler limit require review by a claims manager, and all settlements are screened against duplicate and fraud indicator rules before payment release.",Preventive,IT-Dependent Manual,Per Transaction,"E/O, A/V",Control Activities,Yes,Yes,Claims Director,The handler who assesses the claim cannot release the payment.,Inspect the settlement authority configuration and the fraud rule set in the claims system.,"Select a sample of settled claims; agree the settlement to policy cover, authority limit and evidence of fraud screening.",All claims settled during the period,"40 (per transaction, IT-dependent manual)"
INS-02,Insurance,Reserving,IBNR and Case Reserves,R-INS-02,Reserves for incurred but not reported claims are understated through inappropriate development factors or unsupported management adjustments.,High,"Ensure technical reserves are actuarially determined, independently reviewed and adjusted only with documented justification.","Quarterly, the Appointed Actuary calculates reserves using approved methodology; results are peer-reviewed by an independent actuary, and any management adjustment to the actuarial central estimate is documented and approved by the Reserving Committee.",Detective,Manual,Quarterly,"A/V, C",Risk Assessment,Yes,No,Chief Actuary,The reserving actuary is independent of underwriting and claims settlement.,"Inspect the reserving methodology, peer review protocol and Reserving Committee terms of reference.","For a sample of quarters, agree booked reserves to the actuarial report and inspect approval of any management adjustment.",Quarterly actuarial reserve reports and committee minutes,2 of 4 quarters
INS-03,Insurance,Underwriting,Premium Recognition and Unearned Premium,R-INS-03,"Premium is recognised on binding rather than over the policy period, overstating earned premium and understating the unearned premium reserve.",High,Ensure premium is earned over the period of cover and the unearned premium reserve is complete.,"Monthly, the Financial Reporting Manager reconciles written premium from the policy administration system to the general ledger and recalculates the unearned premium reserve on a pro-rata basis, with Controller review of the movement against policy volumes.",Detective,IT-Dependent Manual,Monthly,"CO, A/V",Control Activities,Yes,No,Financial Controller,Preparer of the reserve calculation is independent of underwriting.,Inspect the earning methodology and evidence of Controller review.,Re-perform the unearned premium calculation for a sample of months and agree to the ledger.,Monthly premium reconciliations and UPR calculations,3 of 12 months
INS-04,Insurance,Reinsurance,Reinsurance Recoveries,R-INS-04,"Reinsurance recoveries are not claimed on qualifying losses, or are recognised against treaties that do not cover the loss.",Medium,"Ensure reinsurance recoveries recognised are complete, valid and collectable.","Quarterly, the Reinsurance Manager reconciles ceded losses to treaty terms and to reinsurer confirmations, reviews recovery ageing and reinsurer credit ratings, and the Controller approves any provision against doubtful recoveries.",Detective,Manual,Quarterly,"E/O, R&O, A/V",Control Activities,Yes,No,Reinsurance Manager,Recovery calculation and provision approval are performed by different individuals.,"Inspect the reconciliation approach, ageing review and credit assessment procedure.","For a sample of quarters, agree recoveries to treaty terms and reinsurer confirmations.",Quarterly reinsurance reconciliations and confirmations,2 of 4 quarters
MFG-01,Manufacturing and industrial products,Production & Costing,Standard Cost and Variance,R-MFG-01,"Standard costs are not updated for input price and yield changes, so inventory is misvalued and variances absorb the error.",High,Ensure standard costs remain supportable and material variances are analysed and resolved.,"Annually the Cost Accounting Manager rolls standard costs using current material, labour and overhead rates with Controller approval; monthly, purchase price and usage variances are analysed by cost centre and explanations above threshold are documented and reviewed.",Detective,IT-Dependent Manual,Monthly,A/V,Control Activities,Yes,No,Cost Accounting Manager,Standard cost changes are approved by someone other than the preparer.,"Inspect the standard cost roll procedure, threshold definition and variance review template.","For a sample of months, re-perform variance calculations and inspect documented explanations and review.",Monthly variance analyses and the annual standard cost roll,3 of 12 months
MFG-02,Manufacturing and industrial products,Inventory & Costing,Physical Inventory and Cycle Counts,R-MFG-02,"Recorded inventory quantities differ from physical stock because counts are infrequent, poorly controlled, or adjustments are posted without approval.",High,Ensure inventory quantities are verified by count and adjustments are authorised.,"Cycle counts are performed to a risk-based schedule covering all A-class items quarterly; counters are independent of stores custody, variances above tolerance are recounted, and all inventory adjustments require Plant Controller approval before posting.",Detective,Manual,Monthly,"E/O, C, A/V",Control Activities,Yes,Yes,Plant Controller,Count teams are independent of warehouse custody; the person recounting is not the original counter.,"Inspect the cycle count programme, coverage schedule and adjustment approval workflow.","Attend a count; for a sample of periods, agree count sheets to system adjustments and inspect approval.",Cycle count records and inventory adjustment postings,25 adjustments
MFG-03,Manufacturing and industrial products,Inventory & Costing,Obsolete and Slow-Moving Provision,R-MFG-03,Provision for obsolete and slow-moving inventory is understated because ageing data is inaccurate or engineering change notices are not reflected.,Medium,"Ensure the inventory provision reflects ageing, demand and product lifecycle status.","Quarterly, Supply Chain and Finance jointly review the inventory ageing and slow-moving report against forecast demand and engineering change notices, and the resulting provision is approved by the Controller.",Detective,IT-Dependent Manual,Quarterly,A/V,Control Activities,Yes,No,Financial Controller,Supply chain proposes the provision; Finance independently reviews and approves it.,"Inspect the provision policy, ageing report logic and evidence of joint review.","For a sample of quarters, re-perform the provision using the ageing report and inspect approval.",Quarterly inventory provision calculations and ageing reports,2 of 4 quarters
MFG-04,Manufacturing and industrial products,Quality & Product Safety,Warranty Provision,R-MFG-04,"The warranty provision does not reflect emerging failure rates or an announced recall, understating liabilities.",Medium,Ensure the warranty provision reflects current claims experience and known product issues.,"Quarterly, the Quality Director provides failure rate and claims data by product line to Finance, which recalculates the warranty provision; recalls and known field issues are separately assessed and approved by the Controller.",Detective,Manual,Quarterly,"C, A/V",Control Activities,Yes,No,Financial Controller,Quality data provider is independent of the finance preparer of the provision.,Inspect the provision methodology and the process for capturing field issues and recalls.,"For a sample of quarters, recompute the provision from claims data and inspect Controller approval.",Quarterly warranty provision calculations and quality claims data,2 of 4 quarters
RTL-01,Retail chains,Store Operations,Cash and Point of Sale,R-RTL-01,"Store cash takings are misappropriated or short-banked, concealed through unauthorised voids, refunds and no-sale transactions.",High,"Ensure store takings are complete, banked intact and reconciled to point-of-sale records.","Daily, the store manager reconciles till readings to cash counted and to the banking slip; voids, refunds and no-sale transactions above threshold require supervisor authorisation at the till, and head office reviews an exception report of till variances and refund patterns by store weekly.",Detective,IT-Dependent Manual,Daily,"E/O, C",Control Activities,Yes,Yes,Retail Operations Director,The cashier operating the till does not perform the end-of-day count alone; banking is verified independently at head office.,"Inspect the daily reconciliation procedure, till authorisation configuration and the weekly exception report.","For a sample of store-days, agree till readings to counted cash and bank credit; review exception report follow-up.",Daily store cash reconciliations and weekly exception reports,40 store-days
RTL-02,Retail chains,Merchandising,Vendor Rebates and Trading Terms,R-RTL-02,"Supplier rebates are recognised before the earning conditions are met, overstating margin.",High,Ensure rebate income is recognised only when the contractual conditions are satisfied and is supported by agreements.,"Quarterly, the Commercial Finance Manager reconciles accrued rebates to signed supplier agreements and purchase volumes, and material rebates are confirmed with the supplier before recognition; the Controller reviews and approves the rebate accrual.",Detective,IT-Dependent Manual,Quarterly,"E/O, CO, A/V",Control Activities,Yes,Yes,Financial Controller,Buyers who negotiate rebates do not calculate or approve the accrual.,"Inspect the rebate recognition policy, agreement repository and confirmation process.","For a sample of quarters, agree accrued rebates to signed agreements and volume data; inspect supplier confirmations.",Quarterly rebate accruals and supplier agreements,2 of 4 quarters
RTL-03,Retail chains,Inventory & Costing,Shrinkage and Stock Loss,R-RTL-03,"Inventory shrinkage from theft, process error or supplier short-delivery is absorbed into cost of sales without identification or correction.",High,"Ensure shrinkage is measured by store, investigated and reflected in the financial statements.","Stores are counted at least twice a year by an independent count provider; shrinkage is calculated by store and category, stores above the shrinkage threshold are subject to a loss-prevention review, and the shrinkage accrual between counts is approved by the Controller.",Detective,Manual,Quarterly,"E/O, A/V",Control Activities,Yes,Yes,Loss Prevention Director,Count provider is independent of store management whose results are being measured.,"Inspect the count programme, shrinkage calculation and loss-prevention escalation criteria.","For a sample of stores, agree count results to system adjustments; inspect escalation for stores above threshold.",Store count results and shrinkage accrual calculations,25 stores
RTL-04,Retail chains,Customer Revenue & Loyalty,Gift Cards and Loyalty,R-RTL-04,"Gift card and loyalty liabilities are understated, or breakage is recognised without a supportable redemption history.",Medium,Ensure gift card and loyalty obligations are completely recorded and breakage is supportable.,"Monthly, the Revenue Accountant reconciles the gift card and loyalty liability to the issuing platform, and breakage is recognised only using the redemption pattern approved annually by the Controller and revisited against actual redemption experience.",Detective,IT-Dependent Manual,Monthly,"C, A/V",Control Activities,Yes,No,Revenue Accounting Manager,The person maintaining the loyalty platform does not approve the breakage assumption.,"Inspect the reconciliation, the breakage methodology and evidence of annual reassessment.","For a sample of months, re-perform the reconciliation and recompute breakage on the approved basis.",Monthly liability reconciliations and the annual breakage assessment,3 of 12 months
AVN-01,Aviation and airlines,Flight Revenue,Passenger Revenue and Unflown Tickets,R-AVN-01,"Revenue is recognised on ticket sale rather than on flight, overstating revenue and understating the unflown ticket liability.",High,Ensure passenger revenue is recognised when the flight is flown and the air traffic liability is complete.,"Monthly, the Revenue Accounting Manager reconciles tickets sold, flown, refunded and expired from the revenue accounting system to the air traffic liability in the general ledger, and the Controller reviews the liability movement and the expiry recognition against the approved policy.",Detective,IT-Dependent Manual,Monthly,"CO, C, A/V",Control Activities,Yes,No,Revenue Accounting Manager,Preparer of the liability reconciliation is independent of sales and distribution.,Inspect the revenue recognition policy and the air traffic liability reconciliation template.,"For a sample of months, re-perform the reconciliation and agree flown revenue to flight coupon data.",Monthly air traffic liability reconciliations,3 of 12 months
AVN-02,Aviation and airlines,Ground Operations,Ground Handling Billing,R-AVN-02,"Ground handling services performed for airline customers are not billed, or are billed below the contracted tariff.",High,Ensure all ground handling services performed are captured and billed at contracted rates.,"The station reconciles daily service delivery records to flight movement data, and the billing system prices services from the contracted tariff table; the Station Manager reviews an unbilled services report weekly and approves manual rate overrides.",Detective,IT-Dependent Manual,Weekly,"C, A/V",Control Activities,Yes,No,Station Manager,Staff recording service delivery do not maintain the tariff table.,"Inspect the service capture process, tariff configuration and unbilled report.","For a sample of weeks, reconcile flight movements to services billed and re-price a sample of invoices to contract.",Weekly service delivery and billing reconciliations,25 of 52 weeks
AVN-03,Aviation and airlines,Fleet & Engineering,Maintenance Reserves and Component Overhaul,R-AVN-03,Provisions for scheduled airframe and engine overhauls on leased aircraft are misstated because utilisation or overhaul cost assumptions are outdated.,High,Ensure maintenance provisions reflect actual utilisation and current overhaul cost estimates.,"Quarterly, Engineering supplies flight hours and cycles by aircraft and the latest overhaul cost estimates; Finance recalculates the maintenance provision per lease terms and the Controller approves changes to the cost assumption.",Detective,IT-Dependent Manual,Quarterly,"A/V, C",Control Activities,Yes,No,Financial Controller,Engineering provides utilisation data; Finance independently calculates and Controller approves.,Inspect the provisioning methodology against lease return conditions and the assumption approval process.,"For a sample of quarters, recompute the provision using utilisation data and approved cost assumptions.",Quarterly maintenance provision calculations and utilisation reports,2 of 4 quarters
AVN-04,Aviation and airlines,Fuel & Hedging,Fuel Procurement and Hedging,R-AVN-04,"Fuel hedge accounting is applied to instruments that do not qualify, or hedge positions exceed the mandate approved by the board.",Medium,Ensure fuel hedging operates within the approved mandate and hedge accounting is properly supported.,"Monthly, Treasury reports open hedge positions against the board-approved mandate limits, and hedge effectiveness testing and documentation are prepared by Financial Reporting and reviewed by the Controller before hedge accounting is applied.",Detective,Manual,Monthly,"A/V, P&D",Control Activities,Yes,No,Treasurer,The dealer executing hedges does not perform effectiveness testing or confirm positions.,"Inspect the treasury mandate, hedge documentation standard and effectiveness testing methodology.","For a sample of months, agree open positions to the mandate and inspect effectiveness testing documentation.",Monthly hedge position reports and effectiveness testing files,3 of 12 months
HSP-01,Hospitality and hotels,Rooms Revenue,Rate and Reservation Integrity,R-HSP-01,"Room revenue is lost through unauthorised rate discounts, comped rooms and unrecorded occupancy at the front desk.",High,Ensure rooms occupied are recorded and billed at authorised rates.,"The property management system restricts discount and complimentary room codes to authorised users; the Night Auditor reconciles rooms physically occupied to rooms billed each night, and the General Manager reviews a daily exception report of comps, rate overrides and zero-rate stays.",Detective,IT-Dependent Manual,Daily,"C, E/O, A/V",Control Activities,Yes,Yes,General Manager,The front desk agent granting a rate override cannot approve their own override.,Inspect user rights over rate codes and the night audit reconciliation procedure.,"For a sample of nights, agree occupied rooms to rooms billed and inspect GM review of the exception report.",Nightly night-audit packs and exception reports,25 nights
HSP-02,Hospitality and hotels,Food & Beverage,Inventory and Pour Cost,R-HSP-02,"Food and beverage stock is consumed without sale through theft, over-pouring or unrecorded staff consumption.",High,Ensure food and beverage cost of sales reflects genuine sales and variances are investigated.,"Monthly, the Food and Beverage Controller counts stock, calculates theoretical versus actual cost of sales by outlet, and outlets exceeding the variance tolerance are investigated with the outlet manager and reported to the General Manager.",Detective,Manual,Monthly,"E/O, A/V",Control Activities,Yes,Yes,Food and Beverage Controller,The person counting stock is independent of the outlet whose variance is being measured.,"Inspect the costing methodology, tolerance thresholds and investigation protocol.","For a sample of months, re-perform the theoretical cost calculation and inspect investigation of outlier outlets.",Monthly stock counts and cost variance reports,3 of 12 months
