Reference,Industry,Process,Sub-process,Risk,Why this matters,Risk rating,Risk category,Audit objective,What to review,Procedures,Red flags,Evidence to request,Measures
IA-BNK-15,Banking and financial institutions,Deposits & Payments,Branch and Cash Operations,Cash and negotiable instruments are misappropriated at branches through teller manipulation or vault control failure.,"Branches hold physical cash, and small amounts taken repeatedly add up long before anyone notices.",High,Fraud,Assess physical and procedural controls over cash and instruments in branch operations.,"1. Teller limits, cash-outs and end-of-day balancing
2. Vault dual control and access logging
3. Surprise cash counts and their independence
4. Suspense and difference accounts at branch level
5. Negotiable instrument stock control","1. Perform surprise cash counts at a sample of branches and agree to records.
2. Analyse teller differences by individual — small persistent differences can indicate skimming.
3. Test vault access logs for single-person access events.
4. Review branch suspense accounts for aged items.","1. Recurring small teller differences by the same person
2. Vault accessed by one person
3. Surprise counts announced in advance
4. Suspense items cleared just before a count","1. Cash records and teller balancing reports
2. Vault access logs
3. Surprise count records
4. Branch suspense accounts","1. Teller difference frequency
2. Surprise counts performed
3. Aged suspense items"
IA-BNK-16,Banking and financial institutions,Deposits & Payments,Payment Operations and Settlement,"Payments fail, settle late or are duplicated, causing customer loss, liquidity impact and regulatory breach.","When payments fail or duplicate, customers lose money and the bank has to make it good, on top of the regulatory attention.",High,Operational,"Assess controls over payment processing, settlement and exception handling.","1. Straight-through processing rates and manual repair volumes
2. Cut-off times, settlement finality and liquidity management
3. Duplicate and erroneous payment detection and recovery
4. Payment scheme rules compliance
5. Resilience of payment channels and contingency arrangements","1. Analyse manual repair volumes and who performs them; manual intervention is where error and fraud enter.
2. Test duplicate payment detection and the recovery of identified duplicates.
3. Test compliance with scheme rules on timing and messaging standards.
4. Review payment incidents and test whether root causes were remediated.","1. High manual repair rates in one channel
2. Repairs performed by the same person who inputs
3. Duplicates identified by customers rather than the bank
4. Recurring incidents with the same cause","1. Payment processing data
2. Repair and exception logs
3. Incident records
4. Scheme compliance reporting","1. STP rate
2. Manual repairs
3. Payment incidents"
IA-BNK-17,Banking and financial institutions,Deposits & Payments,Customer Complaints and Conduct,"Complaints are not identified, investigated fairly or used to detect systemic customer harm.",Complaints are the cheapest early warning a bank gets. Ignoring them turns one customer's problem into a redress bill for thousands.,High,Compliance,"Assess whether complaint handling is fair, timely and drives correction of root causes.","1. Complaint identification — including expressions of dissatisfaction not logged as complaints
2. Investigation quality, timeliness and outcome fairness
3. Root cause analysis and systemic issue identification
4. Redress calculation and delivery
5. Ombudsman referrals and overturn rates","1. Sample closed complaints and reassess whether the outcome was fair on the facts.
2. Test whether complaints are being logged at first point of contact or filtered out.
3. Test whether root causes were identified and remediated, including proactive redress for similarly affected customers.
4. Analyse ombudsman overturn rates as an indicator of internal decision quality.","1. Complaints resolved verbally and never logged
2. High ombudsman overturn rate
3. Redress paid only to those who complained
4. Root cause recorded as ""customer misunderstanding""","1. Complaint records and case files
2. Ombudsman decisions
3. Root cause analyses
4. Redress calculations","1. Complaints per 1,000 customers
2. Ombudsman overturn rate
3. Systemic issues identified"
IA-BNK-18,Banking and financial institutions,Deposits & Payments,Product Governance and Customer Outcomes,"Products are sold to customers for whom they are unsuitable, or perform differently from what was represented.","Selling a product to someone it was never designed for eventually means paying them back, often years later and with interest.",High,Compliance,"Assess whether products are designed, targeted and monitored for good customer outcomes.","1. Product approval process and target market definition
2. Distribution against the intended target market
3. Fair value assessment and pricing
4. Post-sale monitoring of customer outcomes
5. Vulnerable customer identification and treatment","1. Test sales data against the defined target market and quantify sales outside it.
2. Review the fair value assessment for products with high margin or low usage.
3. Test outcome monitoring — cancellation rates, complaints, claims declined — for signals of poor outcomes.
4. Test identification and treatment of vulnerable customers in the sales process.","1. Products sold well outside the target market
2. Fair value assessments concluding value in every case
3. High early cancellation rates unexplained
4. Vulnerability flags not visible to front-line staff","1. Product approval documentation
2. Sales and distribution data
3. Fair value assessments
4. Outcome monitoring reports","1. Sales outside target market
2. Early cancellation rate
3. Vulnerable customers identified"
IA-BNK-01,Banking and financial institutions,Credit & Lending,Credit Underwriting,"Credit decisions are influenced by relationship pressure or incentive targets, so exceptions to policy become routine rather than exceptional.","If salespeople can push through loans that break the rules, the bank ends up with borrowers who were never going to pay.",High,Operational,"Assess whether credit policy exceptions are genuinely exceptional, escalated to the right level, and performing no worse than compliant lending.","1. Policy exception rate by product, branch and originator
2. Level at which exceptions are approved
3. Performance of exception loans versus the book
4. Incentive structures for lending staff
5. Override of automated credit scores","1. Extract all loans booked with a policy exception; analyse rate by originator, branch and product against the portfolio average.
2. Test that each exception was approved at the level the policy requires, not one below.
3. Compare arrears and default rates of exception loans to compliant loans of the same vintage.
4. Review the incentive plan for lending staff and test whether volume targets dominate credit quality measures.
5. Investigate cases where an automated score was manually overridden and trace the justification.","1. Exceptions concentrated with a small number of originators
2. Exceptions approved by the originator's immediate manager only
3. Rising exception rate near quarter end
4. Overrides without recorded justification","1. Loan origination system extract
2. Credit policy and delegated authority matrix
3. Arrears and default data by vintage
4. Incentive plan documents","1. Policy exception rate
2. Default rate: exception vs compliant
3. % exceptions approved at correct level"
IA-BNK-02,Banking and financial institutions,Financial Crime,"AML, KYC and Sanctions","Customer due diligence is incomplete or out of date, and transaction monitoring alerts are closed without adequate investigation, exposing the bank to regulatory enforcement.","Banks are legally required to know who their customers are and to report suspicious activity. Getting this wrong brings fines and, sometimes, criminal charges.",High,Compliance,"Determine whether customer due diligence, screening and transaction monitoring operate as designed and that alerts are investigated to a defensible standard.","1. CDD and enhanced due diligence completeness at onboarding
2. Periodic review cycle for existing customers, especially high risk
3. Sanctions and PEP screening coverage and tuning
4. Transaction monitoring alert backlog and closure quality
5. Suspicious activity report timeliness and quality","1. Sample customer files across risk ratings and test CDD completeness against policy, including source of funds for high-risk customers.
2. Quantify overdue periodic reviews by risk rating and test whether relationships continued to transact.
3. Re-perform screening on a sample of customers and counterparties to confirm the system produces the expected hits.
4. Sample closed monitoring alerts and reassess whether the closure rationale is supportable; measure closure rate by analyst.
5. Test elapsed time from alert to suspicious activity report filing against the regulatory deadline.","1. A single analyst closing far more alerts than peers
2. Alerts closed with template narratives
3. Screening rules relaxed after a volume spike
4. High-risk customers overdue for review still transacting","1. Customer files and CDD records
2. Alert management system extract
3. Screening system configuration and tuning records
4. SAR register and regulator correspondence","1. Overdue periodic reviews
2. Alert closure rate by analyst
3. Days from alert to SAR filing"
IA-INS-01,Insurance,Claims,Claims Leakage,"Claims are settled for more than the policy requires because coverage is not properly applied, subrogation is not pursued and reserves anchor the settlement.","Every extra pound paid on a claim beyond what the policy requires is profit gone, and it happens quietly across thousands of claims.",High,Operational,Quantify claims leakage and identify where in the handling process value is lost.,"1. Coverage verification before settlement
2. Reserve setting discipline and reserve movement patterns
3. Subrogation and recovery identification
4. Use of preferred suppliers and negotiated rates
5. Settlement authority adherence","1. Re-review a sample of closed claims against policy wording and quantify amounts paid above entitlement.
2. Analyse reserve movements: claims settled at or near the initial reserve may indicate anchoring rather than assessment.
3. Identify closed claims with third-party liability indicators and test whether subrogation was pursued.
4. Compare settlement values by handler and by supplier for similar claim types.","1. Settlements clustered just below authority limits
2. Claims closed with no subrogation review
3. A handler consistently settling above peer averages
4. Repeat claimants across policies","1. Claims system extract with reserve history
2. Policy wordings
3. Supplier panel agreements
4. Subrogation recovery records","1. Leakage as % of claims paid
2. Subrogation recovery rate
3. Average settlement by handler"
IA-INS-02,Insurance,Distribution,Broker and Agent Management,"Business is written through intermediaries who are not authorised, whose commissions are calculated incorrectly, or who mis-sell products to unsuitable customers.","Brokers and agents sell using the insurer's name, so whatever they do wrong lands on the insurer's desk.",High,Compliance,"Confirm intermediaries are properly appointed and monitored, and that commission and conduct risks are controlled.","1. Intermediary appointment, licensing and vetting
2. Commission calculation and payment accuracy
3. Product suitability and sales conduct monitoring
4. Premium collection and client money handling by intermediaries
5. Complaint and cancellation patterns by intermediary","1. Reconcile intermediaries paid commission to the approved and licensed intermediary register.
2. Recompute commission for a sample of policies against the agency agreement and test clawback on early cancellation.
3. Analyse lapse, cancellation and complaint rates by intermediary and investigate the outlier tail.
4. Test premium remittance timeliness against the agency agreement and quantify amounts held beyond terms.","1. Commission paid to intermediaries with lapsed licences
2. High early-cancellation rates concentrated with one agent
3. Premium remitted late or netted against commission
4. Policies written for customers outside the target market","1. Intermediary register and agency agreements
2. Commission payment records
3. Policy lapse and complaint data
4. Premium remittance records","1. Early cancellation rate by intermediary
2. Commission error rate
3. Days to remit premium"
IA-MFG-01,Manufacturing and industrial products,Production & Costing,Production Planning and Yield,"Actual production yield falls below standard and the loss is absorbed in variances rather than investigated, masking equipment, material or process failure.","Material that goes in but does not come out as product is money lost. If it is buried in general variances, nobody fixes the cause.",Medium,Operational,Evaluate whether yield and scrap losses are measured accurately at the line level and driven down through root-cause action.,"1. Yield and scrap reporting accuracy at each production stage
2. Rework classification and cost capture
3. Root-cause analysis on repeat losses
4. Machine downtime capture and maintenance linkage
5. Bill of materials accuracy versus actual consumption","1. Reconcile material issued to output produced plus scrap for a sample of production orders; investigate unexplained gaps.
2. Compare reported yield by line and shift; test whether the reporting is system-generated or manually entered.
3. Trace repeat scrap causes through to a corrective action with a verified closure.
4. Compare bill of materials quantities to actual consumption for high-volume products.","1. Yield reported identically period after period
2. Scrap recorded in bulk at month end
3. Rework not distinguished from first-pass output
4. Downtime attributed to a generic category","1. Production order records
2. Scrap and rework logs
3. Machine downtime data
4. Bills of materials","1. First-pass yield %
2. Scrap as % of material issued
3. Overall equipment effectiveness"
IA-MFG-02,Manufacturing and industrial products,"Health, Safety & Environment",Workplace Safety and Environmental Compliance,"Safety incidents are under-reported and environmental permit conditions are breached, exposing the company to enforcement, shutdown and reputational damage.","Safety and environmental breaches can shut a plant down, and they injure people. This is not a financial risk first.",High,Compliance,"Assess whether safety and environmental obligations are identified, monitored and actually met at plant level.","1. Permit inventory and condition tracking
2. Incident and near-miss reporting culture
3. Corrective action closure after incidents
4. Emissions, effluent and waste monitoring and reporting
5. Contractor safety management on site","1. Build an inventory of environmental permits and test compliance with each material condition, including monitoring and reporting deadlines.
2. Compare reported incident rates across plants; a plant with an implausibly low rate warrants interview-based testing.
3. Trace a sample of incidents to root-cause analysis and verify the corrective action was implemented, not just recorded.
4. Test contractor induction, permit-to-work and competency records for work performed on site.","1. Near-miss reporting falling while incidents hold steady
2. Corrective actions closed with no evidence
3. Monitoring results clustered just inside the permit limit
4. Contractors working without a permit to work","1. Permit register and regulator correspondence
2. Incident management system
3. Monitoring and emissions data
4. Contractor induction and permit-to-work records","1. Total recordable incident rate
2. Near-miss to incident ratio
3. % permit conditions evidenced
4. Corrective actions overdue"
IA-RTL-01,Retail chains,Store Operations,Store Cash and Refund Abuse,"Store staff generate refunds, voids or discounts against genuine sales and remove the cash, or apply staff discounts to customer transactions.","Tills are where cash and staff meet thousands of times a day, and a refund against a real sale is the easiest way to take money.",High,Fraud,Identify cash losses arising from transaction manipulation at the point of sale and test whether monitoring detects them.,"1. Refund, void and no-sale authorisation at the till
2. Refunds without an original receipt or card match
3. Staff discount usage patterns
4. Till variance investigation thresholds
5. CCTV coverage over till points","1. Analyse refunds by cashier per hundred transactions and rank stores and operators; select the outlier tail for CCTV review.
2. Test refunds processed to a different payment method than the original sale.
3. Match staff discount transactions to employee purchase records and test for use on non-employee sales.
4. Test whether till variances below the investigation threshold accumulate to a material amount by operator.","1. Refunds concentrated in the operator's own shift with no customer present on CCTV
2. Repeated small variances just under the threshold
3. Voids immediately after a cash sale
4. Discount cards used at multiple stores","1. Point-of-sale transaction log
2. Till variance reports
3. Employee discount card register
4. CCTV footage","1. Refunds per 100 transactions by operator
2. Till variance per store
3. Voids as % of sales"
IA-RTL-02,Retail chains,Merchandising,Supplier Terms and Delivery Compliance,"Suppliers under-deliver, deliver late or invoice outside agreed terms, and the store network absorbs the loss because claims are never raised.","If suppliers under-deliver or overcharge and nobody claims it back, the loss is simply absorbed store by store.",Medium,Operational,"Confirm that goods received match what was ordered and invoiced, and that supplier non-compliance is claimed and recovered.","1. Three-way match discipline between order, receipt and invoice
2. Short and damaged delivery claim process
3. On-time in-full performance by supplier
4. Price differences between contract and invoice
5. Deduction and chargeback recovery","1. Quantify receipts posted without a purchase order and invoices paid without a matched receipt.
2. Re-price a sample of invoices against contracted terms and quantify overcharges.
3. Analyse on-time in-full performance by supplier and test whether contractual service credits were claimed.
4. Test the ageing of open supplier claims and the recovery rate.","1. Receipts booked in full despite recorded shortages
2. Claims raised but never followed up
3. Price variances always in the supplier's favour
4. A supplier consistently below service level with no credits taken","1. Purchase order, receipt and invoice data
2. Supplier contracts and trading terms
3. Claims and deductions register
4. On-time in-full reporting","1. Price variance recovered
2. OTIF % by supplier
3. Open claims ageing"
IA-AVN-01,Aviation and airlines,Safety & Regulatory Compliance,Airworthiness and Maintenance Compliance,Aircraft are released to service without all required maintenance tasks and airworthiness directives being completed and certified.,"An aircraft with incomplete maintenance records cannot legally fly, regardless of whether the work was actually done.",High,Compliance,Confirm that maintenance is performed and certified by authorised personnel and that airworthiness records are complete and traceable.,"1. Airworthiness directive and service bulletin compliance tracking
2. Certifying staff authorisation scope and currency
3. Deferred defect management against the minimum equipment list
4. Parts traceability and approved supply chain
5. Maintenance record retention and integrity","1. Select applicable airworthiness directives and trace each to a completed and certified work package within the required interval.
2. Test that certifying signatures belong to staff whose authorisation covers that aircraft type and task, and was current on the date.
3. Analyse deferred defects for items carried beyond the MEL time limit or repeatedly re-deferred.
4. Trace a sample of fitted parts to release certificates and approved suppliers.","1. Defects repeatedly deferred and re-raised
2. Certification by staff whose authorisation lapsed
3. Parts fitted without an airworthiness release certificate
4. Records completed retrospectively in blocks","1. Maintenance information system records
2. Airworthiness directive register
3. Certifying staff authorisation records
4. Parts release certificates
5. Regulator audit findings","1. AD compliance rate
2. Deferred defects beyond limit
3. % work packages certified in time"
IA-AVN-02,Aviation and airlines,Ground Operations,Ramp Handling and Aircraft Damage,"Ground handling errors damage aircraft, delay departures and generate airline chargebacks that are absorbed rather than investigated.","Damage on the ground grounds aircraft and generates claims from airlines, and it is often discovered by the customer rather than the handler.",High,Operational,"Assess control over ramp operations, damage reporting and the recovery or prevention of associated cost.","1. Ground support equipment maintenance and operator licensing
2. Aircraft damage reporting and investigation
3. Delay coding accuracy and attribution
4. Load control and weight and balance accuracy
5. Airside driving permits and training currency","1. Reconcile ground damage incidents reported internally to airline claims received; investigate claims with no internal report.
2. Test operator licensing and training currency for a sample of ramp staff and equipment types.
3. Analyse delay codes attributed to handling and test the supporting evidence for a sample.
4. Review load sheet accuracy against actual loading for a sample of flights.","1. Damage discovered by the airline rather than reported by the station
2. Delay codes reassigned after the fact
3. Equipment operated by staff without a current licence
4. Load sheets amended after departure","1. Ground damage register and airline claims
2. Training and licensing records
3. Delay reporting data
4. Load sheets and weight and balance records","1. Ground damage incidents per 1,000 turns
2. On-time departure %
3. Claims cost per turn"
IA-HSP-01,Hospitality and hotels,Property Operations,Front Office and Cash Handling,"Front desk staff manipulate reservations, comps and petty cash, and the loss is hidden by the volume of small transactions.","The front desk can give away rooms, discounts and refunds, and each one is money the hotel never sees.",High,Fraud,Identify cash and revenue loss at the property and assess whether property-level monitoring detects it.,"1. Comp, discount and rate-override authority at the front desk
2. Room moves and reservation cancellations after check-in
3. Petty cash and float custody
4. Paid-out and refund transactions
5. Night audit independence","1. Analyse comps, rate overrides and zero-rate stays by agent and shift; select the outlier tail for evidence of authorisation.
2. Test reservations cancelled after the guest checked in, which can conceal a cash sale.
3. Count floats unannounced at a sample of properties and agree to the recorded balance.
4. Test paid-outs and refunds for supporting documentation and guest signature.
5. Confirm the night auditor is not the same person who operated the desk during the shift audited.","1. Comps concentrated on one agent or shift
2. Repeated room moves to lower rate codes
3. Floats counted only by their own custodian
4. Guest folios adjusted after checkout","1. Property management system transaction log
2. Night audit packs
3. Petty cash and float records
4. CCTV at the front desk","1. Comps as % of room revenue
2. Overrides per agent
3. Float variance per property"
IA-HSP-02,Hospitality and hotels,Procure to Pay,Purchasing and Supplier Relationships,"Property managers direct purchasing to connected suppliers at inflated prices, outside the group procurement framework.","When each property buys locally, prices drift upward and personal relationships creep in.",High,Fraud,Assess whether property-level purchasing follows the group framework and whether supplier relationships are arm's length.,"1. Use of contracted group suppliers versus local purchasing
2. Local supplier onboarding and vetting
3. Price benchmarking against group contracts
4. Conflict of interest declarations at property level
5. Splitting of purchases below approval thresholds","1. Quantify spend outside the group contracted supplier list by property and category.
2. Compare unit prices paid locally against the group contract rate for the same items.
3. Match local supplier details against employee records for shared addresses, phone numbers and bank accounts.
4. Test for purchase orders split into amounts just below the approval threshold.","1. A property with unusually high local spend
2. Suppliers created and used only by one property
3. Invoices consistently just below the threshold
4. No competitive quotes on recurring local spend","1. Accounts payable spend by property and supplier
2. Group supplier contracts and rates
3. Employee master data
4. Purchase order records","1. % spend on contract
2. Price variance to group rate
3. Split-order exceptions"
IA-ECM-01,E-commerce,Online Revenue,"Pricing, Promotions and Digital Content","Pricing and promotion errors are published to the site and honoured at scale before anyone notices, or promotional terms are not met.","An online pricing error is honoured at scale within minutes, before anyone can react.",Medium,Operational,Assess control over what is published to customers and how quickly errors are detected and corrected.,"1. Price and promotion change approval before publication
2. Automated checks on price change magnitude
3. Stacking of promotions and discount codes
4. Speed of detection and rollback
5. Advertising and claims compliance","1. Test the approval trail for a sample of price and promotion changes published in the period.
2. Review automated tolerance checks on price changes and test whether they blocked or flagged extreme values.
3. Test whether discount codes can be stacked or reused beyond their intended limit by re-performing a checkout in a test environment.
4. Measure elapsed time from publication of known pricing errors to correction, and quantify orders honoured.","1. Discount codes shared publicly and still active
2. Price changes published outside working hours without approval
3. Repeat incidents with the same root cause
4. No monetary tolerance on automated price feeds","1. Content management change log
2. Promotion configuration records
3. Incident log for pricing errors
4. Order data for affected periods","1. Pricing incidents per quarter
2. Value honoured on error
3. Mean time to correct"
